,country,description,points,price,variety
21379,US,"This lands on the sweet side of the corral, and has a good texture of tannins and acidity as well as oodles of grapy, blackberry jam flavors to complete the package. It's full bodied, rich in mouthfeel, and the ripe fruit character stays on the finish.",87,15.0,Red Blend
37266,US,"This is pure Sémillon, barrel fermented in new American oak, from a new, Spokane-based winery. Sémillon makes some of the best white wines in Washington, though consumer interest has been tepid. This shows the barrel influence with a rich coconut flavor, wrapped into sleek fruit flavors of white peach, green apple and a hint of cucumber.",88,17.0,Sémillon
44492,US,"A presently reined-in wine with exotic elements, showing a ginger, saffron and green apple bouquet. It's well-balanced, with lively apple and citrus flavors. It has good acidity and a firm structure that should hold it together for three or four years. With aging, it may integrate and develop further.",88,30.0,Chardonnay
14594,US,"A beautiful copper color, deep and dense. Modeled on the wines of Provence's Domaines Ott, this rosé was designed, says the winemaker, to age. It's whole-cluster fermented from Grenache vines that have been picked and grown specifically to be a rosé—not a saignée. Compact, compressed and powerful with an emphasis on the mineral subtext, light peach and strawberry highlights.",92,35.0,Rosé
57259,Italy,"This hearty Montepulciano d'Abruzzo from a relatively hot vintage (2005) offers loads of ripe, jammy fruit, plum and prune backed by exotic spice and black peppercorn. The wine shows solid, dark tannins on the close.",85,15.0,Montepulciano
72248,US,"Perfumed, floral and intriguing, this is still tight with mountain tannins. In a few years, its thick black-cherry and pepper tones will emerge, becoming rounded out with notes of violet and oaky leather.",88,23.0,Grenache
102456,US,"This ripe, lush Syrah boldly expresses itself with shiny, saturated colors and bright, spicy, assertive fruit. It's a full-bodied, sappy wine, forward and plump, and the deep core of blackberry fruit is enhanced with pepper, citrus peel, clove and other spices. Young and still grapey, it's delicious right now but can be cellared for some years.",93,38.0,Syrah
95395,US,"The softness and rusticity that almost always mark Sierra Foothills wines are here, yet the wine rises to what might be called coastal elegance. A Spanifornia blend of Tempranillo and Cab Sauvignon, it has a complexity that unfolds in waves of blackberry, tobacco, clove, anise and espresso. Drink now.",91,45.0,Red Blend
72465,US,"Young and yeasty, this is a style best consumed early. It refreshes like a light beer, quick and clean, with bracing acidity, but not much in the way of fruit.",85,13.0,Chardonnay
72626,Spain,"Having never tried this producer's wines, we can only heap praise on this medium-bodied, more modern style of Rioja. Bacon, rubber and raspberry work the bouquet, while the palate is ripe and full as it pumps forth with pure red-fruit flavors. Firm and mildly tannic, with ample new oak leaving lasting flavors of vanilla, coffee and pepper. Hold for another year or so, if possible; 900 cases produced.",91,22.0,Tempranillo Blend
71594,US,"Fruity, rich and honey-sweet, with decadent flavors of peach and pear jam, apricot, pineapple, green apple and vanilla, enhanced with sweet, smoky oak. There's a good spine of acidity for balance.",87,24.0,Marsanne-Roussanne
24010,US,"This 100% Syrah shows intense blackberry, crème de cassis and plum sauce flavors, plus hints of charred bone and black pepper. It's dry, and the tannins are firm but supple. The alcohol is high, but it's balanced with the wine's fruit.",90,45.0,Syrah
36728,US,"Full-bodied and juicy. Offers a wealth of blackberry, black cherry, plum, tobacco, bacon and pepper spice flavors that are housed in thick tannins. Production was 4,877 cases, so should be easy to find.",87,18.0,Zinfandel
8286,US,"The most notable thing about this Pinot is its intensity of flavor. A blend of both new Dijon clones and older California selections of Pinot Noir, it is stunning with flavors of raspberries, cherries and Dr. Pepper. It's a balanced, elegant wine with vibrant texture , but needs time to truly shine. Hold till at least 2017.",95,65.0,Pinot Noir
46042,US,"Nice and oaky and rich, from a vineyard in the heart of the cool-climate southern part of Russian River Valley. Acidity stars, giving zesty balance to the ripe pineapple, green apple, Key lime pie and pear flavors. New oak, to the tune of 40%, adds an opulent touch.",90,22.0,Chardonnay
48922,US,"This is a new winery for me, and it's a promising start. The wine is decadently rich in cassis, cherries, milk chocolate and vanilla flavors, but it has the structural integrity of a fine wine. While acidity is soft, the tannins have the grip of cherry skins, while oak adds its own tannic complexities.",88,28.0,Cabernet Sauvignon
20743,US,"Fermented 75% whole-cluster and then aged in neutral oak, this wine offers complex, expressive aromas of green olive, fresh herbs, grilled asparagus, earth and peat. The palate brings waves of intensity, with sensuous, layered savory flavors that lead to a hyperextended finish. It's an exclamation point of a wine that shows the promise of this young winery and vineyard.",94,50.0,Syrah
77844,US,"Lots of bang for the buck here. Offers mouth-filling, juicy blackberry, cherry, pomegranate and coffee flavors in a bone-dry, soft wine, with a fairly complicated tannin structure. Drink now.",87,15.0,Merlot
93058,US,"This is a very ripe wine stuffed with blackberries, cherries and cocoa, but it's also pretty tannic, although sweet oak softens the blow. Feels lush and good, but rustic around the edges. Drink now with beef dishes.",86,16.0,Meritage
6516,US,"This wine opens with the fresh liveliness of stemmy earth and black tea notes, growing funkier and more herbal on the midpalate. Brightly layered and deeply flavored, it's a full-bodied rendition that remains true to its variety.",91,35.0,Pinot Noir
73286,US,"This is the kind of wine that will be wildly popular as a cocktail sipper. It has the fruit, spice and oaky vanilla to appeal to almost all palates, yet is dry and crisp in acidity, leaving behind a clean, fruity finish.",87,16.0,Pinot Blanc
39542,Italy,"From the Gravina appellation in Puglia (southern Italy), this charming blend of Greco (60%) and Malvasia (40%) opens with easy aromas of pear, Golden Delicious apple and drying mineral or talc powder. It's tonic and fresh in the mouth and would pair with tomato bruschetta and fresh basil.",86,10.0,White Blend
66431,France,"A powerfully ripe, toasty wine, showing all the richness of 2005 in Chablis, and adding a layer of structure to go with the apples and cream richness. At the center, there is green minerality.",92,88.0,Chardonnay
42833,US,"Dry and savory, this blend of Grenache Blanc, Roussanne and Viognier has a tangy spine of minerality that frames lusher notes of papaya, white peach, lemon zest, nectarine and vanilla. Finishes with a refreshing touch of citrusy acids.",86,24.0,Rhône-style White Blend
57967,France,"This is a light, fresh and fruity wine, with an attractive red-berry flavor, plus acidity and a soft structure.",84,24.0,Bordeaux-style Red Blend
45655,US,"Smells and tastes not quite ripe. Now that the wine is softening and resolving at the age of 3-1/2 years, it's showing a streak of veggie green behind the cherries.",83,34.0,Syrah
83579,US,"Always a very dry, elegant Pinot Noir, Signorello's '08 Las Amigas again displays those qualities. It shows dried raspberry, cherry and cola flavors, with a distinct minerality and a dusting of tobacco and black pepper. This fancy Pinot is a natural lamb or steak.",92,50.0,Pinot Noir
12276,US,"Cola, cherry, mocha and vanilla flavors, in a light-bodied, silky wine, with pronounced acidity. Finishes dry. A bit rustic, but offers good Pinot character.",85,24.0,Pinot Noir
17342,Italy,"Paleo (a pure expression of Cabernet Franc from Coastal Tuscany) is a drop dead gorgeous wine with amazing intensity and purity of aromas. You get it all here: Bright berry notes, drying mineral, exotic spice, cooling acidity and firm, satisfying structure. It's a rich, velvety and beautiful wine that will award you a memorable drinking experience now or in 10 years time.",98,125.0,Cabernet Franc
69870,France,"Oxidative and spicy. Effusive mineral notes provide complexity but turn heavy in the mouth without fruit for balance. Crisp, with a silky texture and a short-to-medium finish.",87,40.0,Alsace white blend
86756,US,"This is a dry Chardonnay marked by pronounced acids and steely minerals. The underlying flavors are of exotic pineapples and guavas, while new oak and lees aging add richer notes of buttered toast and sour cream. Drink now.",90,30.0,Chardonnay
46358,Italy,"Here's a bright Friulano with a luminous golden color and intense aromas of honey, peach and passion fruit. The wine tastes soft and supple in the mouth and delivers loads of fruity peach flavors on the close. What's nice about this wine is that it delivers high structure and lively fruit fragrances at the same time.",88,18.0,Friulano
52294,Italy,"Oak dominates the overall character of this wine, with forward notes of toasted wood, tobacco leaf, roasted coffee bean and a hint of plum. There's more wood than fruit here.",85,20.0,Red Blend
89181,US,"Simple and direct, with minty flavors of blackberries, licorice, cola, peppercorns and vanilla. On the plus side, the wine is fully dry, the tannins smooth.",84,8.0,Cabernet Sauvignon
71277,US,"This is a good price for a Cab so rich and supple. It's very deep in flavor, with flavors of blackberry pie filling, milk chocolate, anise and sweet oak, yet it's softly balanced and dry. Just delicious for drinking now.",90,30.0,Cabernet Sauvignon
34982,US,"This is a soft, broadly fruity Chardonnay, with near-tropical ripeness. Banana and papaya flavors dominate, accented by pretty baking spices and a touch of mineral.",88,32.0,Chardonnay
71214,France,"Somebody was carried away with wood here. The wine is totally dominated by flavors of burnt wood— even the 50% new wood was too much in 2007. That said, the fruit could increase in weight and black berry flavors. But not just yet—in another three to four years.",88,24.0,Malbec
32936,Italy,"Le Focaie is a great value wine with easy but one-dimensional fruit characteristics of cherry, blackberry and cinnamon spice. The wine's natural thickness and consistency recalls the sunniest vineyards of southern Tuscany.",87,15.0,Sangiovese
68863,US,"There's a wild, feral quality to this fine Pinot Noir. It has forest flavors of wild mushrooms, thyme, fennel, anise and pine, along with more familiar flavors of red cherries, cola and sandalwood. Elegant and ageable. Now through 2012.",94,75.0,Pinot Noir
9679,US,"Crushed stone and dried clay notes lend a distinctly earthen character to this dry light-bodied Riesling. Pressed apple and pear flavors on the palate are freshened by squirts of lime, lemon and a tart green-plum finish. The finish is long and lingering.",87,15.0,Riesling
71553,France,"The weight of the structure is almost overpowering for the fresh blackberry fruits in the wine. Its presence is big, powerful, with bitter fruits and black figs, finishing with a final punch of richness.",86,20.0,Bordeaux-style Red Blend
11946,US,"Quite a distinguished '99, with its flamboyant aromas of spicy blackcurrants and cassis, with an oaky overlay of smoke and vanilla. Feels good as soon as it hits the palate, with blackberry flavors that last through the finish. The jolt of dry tannins that makes the palate puckery suggests midterm aging.",90,38.0,Cabernet Sauvignon
19649,US,"This gets an extra year in barrel and bottle prior to release. It's two-thirds Cabernet Sauvignon, 28% Syrah and 5% Petit Verdot. Still tart and tannic, the wine carries a full load of herb and earth characteristics, with less impact from the fruit than the high alcohol would suggest.",89,50.0,Red Blend
28377,US,"Unfortunately only available in Bermuda, this wonderful bottling shows salted brambleberries, crushed violets, asphalt, rosemary and pinpointed florality on the fresh yet concentrated nose. The palate is zesty and darkly focused, with elderberries, stewed plums, thyme and Earl Grey tea. It's quite a complex effort.",94,34.0,Pinot Noir
67130,US,"This captivating wine treads the line between Rhône and Bordeaux. A splash of Cabernet, though just a fraction of the blend, stands out. The wine has depth and persistence, and the mix of grapes works well, showing brambly red fruits, like a Zin, spice and pepper, like Syrah, and some herbal and leafy tobacco in the finish. Complex, unique and quite appealing.",91,45.0,Red Blend
10815,Italy,"This no-fuss blend of Chardonnay and Fiano offers simple tones of citrus and pear that segue to a crisp, clean mouthfeel. Pair this fresh southern Italian white with insalata di mare (seafood salad).",86,29.0,White Blend
88237,France,"Medium intense notes of sweet grass, fresh red apple slices, green melon and lime citrus on the nose and mouth. Medium weight with moderate, supporting acidity and a clean finish. Drink now.",86,10.0,White Blend
69296,US,"This pure Cabernet Sauvignon is not a heavy wine, but within its sleek profile are interesting flavors of berry, leaf and earth. Tannins are crisp and proportionate, and the fruit carries through a graceful, moderately long finish.",87,36.0,Red Blend
29457,Spain,"Aromas of chocolate mint, creamy vanilla and candy reflect a heavy-handed oak treatment, and a sweet burnt cherry and chocolate mint character is present throughout. Creamy on the tongue, but confected in terms of flavors and finish.",84,18.0,Tempranillo
71704,US,"Ripe and fleshy in young fruit, this Cab, with minor amounts of Cab Franc and Merlot, shows black currant, plum, cherry and cedar flavors, with a dry-sweet dusting of crushed brown herbs and spices. Fairly tannic and tight now, it's balanced enough for mid-term aging. Best 2008–2012.",89,95.0,Cabernet Sauvignon
22162,Spain,"After an early blast of gaseous sulfur, this heavyweight Tempranillo smells of toasted oak, graphite, latex and alcohol. The palate is lush, meaty, jammy and borderline syrupy, while flavors of blackberry, fig and chocolate finish with depth and extreme richness. Drink through 2025.",92,100.0,Tempranillo
18189,Italy,"Terre di Maria is a Sicilian blend of Cabernet Sauvignon, Merlot, Syrah and Pinot Noir that opens with dark concentration and savory aromas of spice, cured meat, smoked bacon and dark berry fruit. The bouquet is slightly muddled but the mouthfeel is bright and fresh.",87,27.0,Red Blend
2938,US,"Intricate aromas and spicy, complex flavors make this medium-bodied wine an adventure to drink. It smells like cherries and cloves and wood smoke, tastes nicely ripe but dry, and has an appetizing, tannic grip in the texture.",89,16.0,Barbera
49550,US,"Eric Hamacher has done a fine job with this wine. At 13.6% alcohol it is in fine balance, with a precise mix of strawberry, pie cherry, root beer and herb flavors. It's medium bodied, open and accessible, but not too simple. There is no reason to wait, but it could be cellared for up to six years.",90,45.0,Pinot Noir
77436,US,"A little sharp and minty, this Pinot is very dry, with acidic flavors of cherries and cola. The mouthfeel is silky. It's not going anywhere, so drink up.",84,48.0,Pinot Noir
36925,US,"Hot in high alcohol, which gives a burn that accentuates the pepper spice and makes it fierce. Yet it's fully dry and rich in blackberry, blueberry, anise and tobacco flavors. Defines the California superripe Zinfandel style.",87,22.0,Zinfandel
58591,France,"This firm, dry wine is all tannins and bitter extraction. It has a hard side to it that the juicy fruit cannot balance.",82,20.0,Bordeaux-style Red Blend
50567,US,"Soft and round, with an explosive burst of candied fruit on the palate, this Barbera has concentrated flavors of dried cherry, plum and milk chocolate, the latter of which pops on the finish.",86,24.0,Barbera
1570,France,"Produced only in top years, this rich wine is impressive. It has great fruit, ripe strawberries and red currants bringing juicy fruitiness. There is also a more serious mineral texture that comes with tangy acidity. Age this wine for a few more months and drink from the end of 2017.",92,17.0,Rosé
99046,US,"A rustic wine with strong, edgy tannins and modest cherry and coffee flavors. It's very dry and astringent, but will soften with beef.",85,24.0,Syrah
51250,US,"Ripe and generously oaked on the palate, this Chardonnay has flavors of pineapple jam, buttered toast and buttered popcorn. It's brightened with crisp acidity.",85,26.0,Chardonnay
20214,Italy,"Dark berry, truffle, toast and kitchen spice aromas meld in the glass. On the palate, notes of roasted coffee bean, powdered sage and ground pepper accent a core of dried black cherry while assertive tannins provide the framework. It ends on an astringent note.",87,19.0,Red Blend
92776,US,"Earthy, spicy aromas lead, rolling into smoky layers of typical Cab flavors. Berry, tobacco and touches of sweet oak give it okay complexity.",83,16.0,Cabernet Sauvignon
71002,Italy,Rubesco Riserva is a dark and sophisticated wine (a 70-30 blend of Sangiovese and Canajolo) with big aromas of red fruit and exotic spice. This vintage (2003 was an exceptionally hot year) shows extra ripeness on the fruit and a touch of bitterness on the close.,89,55.0,Red Blend
50033,France,"Toasty, with notes of slightly menthol-like oak layered over ripe blackberry fruit. It's a medium-bodied wine that finishes crisp, tart and mouthwatering. Give it another 6–12 months to better integrate the oak, then drink it over the next five or so years.",87,16.0,Malbec-Merlot
10045,France,"Generous and opulent, this is a wood-aged wine in which the fruit plays a delicious part. Blackberry juice and acidity play counterpoint to toasty wood flavors and dark tannins. There is a fine, toasty aftertaste that promises good aging. Drink from 2015.",91,20.0,Bordeaux-style Red Blend
103068,France,"This Clerc-Milon, under the same winemaking team as Mouton Rothschild, is an attractive wine, not heavy, already quite soft. It seems to have been heavily extracted, in a New World style, with new wood aromas and flavors, losing something of Pauillac, but a winner in that it's immediately attractive. Imported by Diageo Chateau & Estates.",89,55.0,Bordeaux-style Red Blend
5422,Italy,"This opens with aromas of dark berry, toast, espresso and a whiff of dark cooking spice. The bracing palate offers unripe cherry, licorice, powdered sage and toasted oak alongside bracing tannins that leave an astringent, mouth-puckering finish.",87,29.0,Nebbiolo
21079,US,"With this wine, Venge has taken a giant leap into the front ranks of California Syrah producers. It's made from fruit that's sourced from the great Stagecoach Vineyard, which straddles Atlas Peak—a cool mountain region. The acidity is preserved, and the concentrated fruit easily handles the 60% new French oak. Dramatic and high in alcohol, this selection is gorgeous to drink now, and it will remain fresh over the next six years.",94,54.0,Syrah
80178,France,"Ripe, open and packed with melon and tropical fruit flavors, this wine is already showing enticing drinkability. Its fresh, ripe fruits is layered with some mineral character and an under-cushion of wood.",90,65.0,Chardonnay
60224,US,"A dark, rich, ripe Syrah that defines the California style, and preserves the fine structure that this cool-climate region lends to red wines. The wine is dry and tannic, and the flavors, of blackberries, cherries, blueberries, dark chocolate and sweet, smoky oak, are just delicious. Now and for a few years.",92,27.0,Syrah
103219,US,"Brander has struggled with Merlot. This year's bottling achieve plenty of cherry-berry and mocha fruit. The challenge continues to be the tannic structure, but improvement is notable.",87,20.0,Merlot
52988,France,Excellent color on this firmly fruity wine. It has an attractive edge of tannins giving it good structure while showing all of the fresh nouveau fruit.,86,12.0,Gamay
90055,Italy,Cantina Tre Serre is a well-priced and informal Barbera with a thin and informal style backed by fruity freshness. There's even a tiny touch of effervescence that adds a perky and peppery sensation to the mouthfeel.,84,11.0,Barbera
804,France,"This solidly structured wine shows the firm tannins and mineral structure typical of wines from Côte du Py. It has dense black cherry fruits along with sacidity that cuts through the structure. It could age another year, but is worth drinking now.",91,24.0,Gamay
74932,US,"Each year this value red blend is surprisingly different. With Syrah as the main component, it's spicier, more sappy and loaded with bright and forward berry flavors. The Bordeaux grapes that fill in the second half of the blend add notes of herb, earth, leaf and a hint of stone. It's a delicious, fine value.",88,15.0,Red Blend
20747,US,"Just over 75% Cabernet Sauvignon with the balance Malbec (10%), Petit Verdot (8%) and Merlot, this wine offers brooding but well-delineated aromas and flavors of blackberry, dried flowers, black tea, herbs, earth, barrel spices and light meaty notes. It's packed tightly with firm tannins and also shows great length. Drink 2022–2028.",94,150.0,Bordeaux-style Red Blend
11250,US,"Sweet-pea vines and green herbs add freshness to the perfumed flower and luscious peach-nectar notes. A classically-styled Pinot Gris, this is dry yet mouthfilling and rich. It finishes long, with notes of stone fruit and black tea leaves.",88,14.0,Pinot Gris
71959,US,"Rounder and more fruity than the inaugural 2007 Pinot Gris, this has succulent green apple and Bosch pear flavors balanced against crisp, refreshing acids.",88,15.0,Pinot Gris
55397,US,"One wishes that Mike Januik made more Rieslings, as the few he's made from Bacchus Vineyard fruit have been excellent. This is made in a bright, spicy, palate-pleasing style, and it offers lively flavors of citrus, orange and pear. A hint of mint, a splash of jasmine tea, and an engaging, long, refreshing finish all add to the pleasure.",93,20.0,Riesling
27271,US,"The best of the new releases from Michael Florentino, which has changed hands since this vintage was harvested. Autumnal flavors marry vivid, distinctive fruit to hints of leaf and citrus, elegant and complex.",91,25.0,Mourvèdre
45208,US,"It's nice that they've held back this wine for a few years before releasing it, because it's beginning to meld together in a very delightful way. The tannins, oak and alcohol are coalescing with the cherries, pomegranates, cola, tangerine, vanilla and spices, giving the wine a silky, complex, mellow mouthfeel. Beautifully dry and lush now, and should develop through 2012.",93,45.0,Pinot Noir
13579,US,"Give this tough, young Cabernet a good long decant before serving. At first, it's dominated by sharp acidity and mouth-numbing tannins. But after some airing, it offers black currant flavors. This is likely not an ager.",86,50.0,Cabernet Sauvignon
35452,France,"An intriguing wine, that offers ripe sweetness followed by an edgy rustic acidity. Is this a stage in its evolution? Probably, because the tannins promise aging and the intensely aromatic nature of the fruit points to a potentially fine wine. Just don't drink it yet.",89,55.0,Pinot Noir
70568,US,"Get a case of this and make it your house wine for easy drinking. It's dry and spicy, and has enough cherry, berry and cola flavors to satisfy your tastebuds.",85,10.0,Merlot
100910,Italy,"Cherry, citrus rind and oak make for a short, stout nose. It seems more precise on the palate, with pure cherry and coffee flavors poking through a veil of tight tannins. Gets even firmer on the finish, with a smack of raisin. A wine that requires airing; or more cellar time.",88,30.0,Bordeaux-style Red Blend
92262,US,"Smooth and ripe, this Bordeaux blend pleases for its rich array of blackberry, cherry and spicy plum flavors. The texture is soft and chocolaty. Loses a point or two for the sugary finish, though. Drink now.",85,40.0,Bordeaux-style Red Blend
34491,US,"2008 was a great vintage for Tax, and this Santa Barbara bottling is a great value. It really delivers, offering a dry, elegantly structured and complex wine. The silky texture houses savory flavors of cherries, red currants, cola and sandalwood, with an umami taste of bacon. Just delicious for drinking now.",91,23.0,Pinot Noir
87474,US,"Bone dry with aromas of freshly pressed apples, this is an austere but elegant sparkling blend of Chardonnay and Pinot Noir. With notes of delicate white florals and yeast in the backdrop, the palate has a savory, dusty quality accented by a racy acidity and strong, minerally finish.",87,25.0,Champagne Blend
39090,US,"A bit rough and ready, but shows basic Cabernet quality in the full-bodied flavors of blackberries, currants, chocolate and smoky oak. Good for a tailgate party.",83,13.0,Cabernet Sauvignon
53538,US,"Nice and ripely sweet in fresh blackberry, cherry and oak flavors, this Syrah is made for drinking now. It's dry and rich in tannins, with a soft, velvety mouthfeel. Shows interesting complications of smoked meats, pepper, cola and minerals.",88,54.0,Syrah
40885,US,"Von Strasser has a good track record with this wine, and the '05 is right up there with the best, but be forewarned. It's very tannic. But then, it is from Diamond Mountain. Give it a good 4 years, at least, to throw some sediment and let the rich blackberry and black currant flavors emerge. Should hold well for 15 years.",92,75.0,Cabernet Sauvignon
27496,US,"Fans of the ripe, modern style of Chardonnay will fall in love with this bottling. It's strong in toast, buttered popcorn, vanilla cream and peach, pear and pineapple jam flavors that dazzle and wow the palate. Easy to find, with nearly 17,000 cases produced.",87,22.0,Chardonnay
63834,US,"Straightforward, this Chard shows well-ripened flavors of pineapple jam, nectarines, peaches and vanilla. It finishes with caramelized, butterscotchy sweetness.",84,18.0,Chardonnay
17055,US,"Unbalanced, with lots of acidity, hard tannins and raisiny flavors alongside green ones.",82,27.0,Zinfandel
85131,US,"A very nice Syrah, dark and dry and full-bodied. Although it's a bit young and thick in jammy, primary fruit flavors, it's smooth and balanced. With rich blackberry pie, chocolate, violet, beef carpaccio, bacon and pepper flavors, it should develop through 2011.",91,34.0,Syrah
87357,US,"Fruity and easy, this soft wine has sweet flavors of apricots and caramel. Valdiguié, formerly known as Napa Gamay, is a red grape, and that accounts for the note of crushed raspberries.",84,17.0,Viognier-Valdiguié
59381,Italy,"Here is a beautifully extracted and voluptuous Barolo from the Cannubi cru that would pair with tender veal shank, slow cooked until falling off the bone. Black cherry, spice, root beer and fragrant earthy tones all appear on the nose and the wine closes with tight, firm structure. Cellar age ten years or more.",93,95.0,Nebbiolo
98926,US,"A Bordeaux blend based on Cabernet Sauvignon and Merlot, the grapes for this stunning wine came from David Abreu's vineyard in the St. Helena foothills. It's very complex, softer, more open and approachable than Colgin's 100% Cabs, with a flamboyant spectrum of cherries,  framboise, cocoa, violets, gingerbread and spices framed in supple, fine tannins. Beautiful, a feminine wine of great beauty. Drink now through 2015.",95,225.0,Bordeaux-style Red Blend
64710,Italy,"Here's a pale and luminous rosé from Southern Italy with a pinkish-peach color and delicate aromas of stone fruit, wild berries, white cherries and a touch of chopped mint or basil. The wine is tart but also slightly sweet in the mouth and there's a touch of bitter almond on the close.",85,15.0,Rosé
80079,Spain,"Full, roasted and earthy on the nose, with only some coconut and berry aromas to sweeten things up. Tight, level and structured in the mouth, with roasted raspberry and plum along with oaky, buttery, smoky accents that confirm the wine's “roble” designation. Good but with some excess oak to process.",86,18.0,Tempranillo
52811,Italy,"Here's an absolutely terrific, but informal sparkling rosé from southern Italy (made with Negroamaro grapes). Sweet berry, chopped mint and peach come to the fore and the wine is soft and slightly sweet. It's easy, fresh and would make a great cocktail choice.",86,10.0,Negroamaro
77955,Spain,"Dark, sweet and candied on the nose, with hints of raisin and licorice that become more prominent in the mouth. Saturated but also somewhat monotone and single-leveled in terms of flavor, where you get a narrow band of sweet black cherry and raisin in front of a short finish. Very nice as always, but not the best Allende we've reviewed.",89,26.0,Tempranillo
37665,US,"Although this is Ste. Michelle's widely available Merlot offering, it breaks the mold by being held back a considerable time prior to release. It's an unusual wine, with scents of overripe, raisined fruit, a streak of tobacco and black licorice, a soft midpalate, and some bitterness in the finishing tannins.",84,16.0,Merlot
99672,France,"The dilute, grapey flavors are candied, and a pile of charred lumber doesn't make them go down any easier. A simple wood-and-juice quaff.",81,7.0,Syrah
82715,US,"This is a lovely Zinfandel, soft and appealing. It has fine balance and is dry and rich in cherry, currant, Provençal herb, spice and tobacco flavors. Shows real complexity as it changes in the glass.",91,25.0,Zinfandel
78922,US,"Hot and unbalanced in fruit, with flavors that span the gamut from raisins to mint, this Zin is bone dry. It's a rustic wine, with some rugged tannins and a coarse finish.",82,17.0,Zinfandel
77595,US,"Amador Foothill does a good job with Sangiovese, and this dry rosé is made from that variety. It's a cheerful wine, brisk in acidity and with delicate but complex cherry, rose petal and lavender flavors. The winemaker recommends bouillabaisse, which is a pretty good suggestion.",86,11.0,Sangiovese
57160,US,"Veneered with oak, the nose bears strong aromas of carpenter's shop and charred sugar, with notes of dark stone fruit and cranberry sauce lingering beneath. While initially soft and syrupy, the midpalate gains some tannic traction. Raw meat and blackberry flavors mark the juicy finish.",84,23.0,Bordeaux-style Red Blend
47874,Spain,"Dark as night, and dominated by meaty plum and beef jerky aromas. The palate is huge, with pure fruit, tannin and chocolate pooling at the finish. A new classic in every sense, with stellar balance and complexity. Less than 400 cases made. Imported by Tempranillo, Inc.",96,150.0,Tempranillo
61945,France,"Tannins and red plums combine in this light, elegant wine. The acidity is important though, with the fruit fresh rather than warm.",88,47.0,Pinot Noir
70715,US,"This epitomizes Dry Creek Valley Zinfandel. It's dry, briary and brambly, with wild berry, cola and crisped bacon flavors. It's incredibly spicy, offering everything from black and white pepper to nutmeg, anise and clove. The texture is a delight—silky and gently tannic. While the official alcohol is 13.7%, it tastes warmer.",90,24.0,Zinfandel
40250,Spain,"Airén is a big-crop white grape that is usually distilled into brandy or made into Sherry. But here we see it as a dry white table wine, and while it is limited in scope, the wine's punch-bowl approach and cleansing lime and kiwi flavors are decent.",83,8.0,Airen
92997,US,"Rather tough and astringent now, with crunchy, dry tannins and acidity dominating. These are very fine vineyards but the vintage was so-so. With its core of cherries, red currants and cola, it could develop over the next six years.",88,70.0,Pinot Noir
100226,France,"Spice and blackcurrant aromas are combined with solid tannins and powerful wood flavors to give a spectacular, polished style, a contrast to the  often rustic wines that come from this appellation. The wine comes from 90-year old vines that are then aged in 70% new wood for 18 months.",91,86.0,Syrah
75417,US,"Simple, hot and sweet-and-sour, this is not a success.",80,20.0,Syrah
89923,US,"A little on the thin side, fruit-wise. Shows modest peach and pear flavors, with lots of caramelly, toasty oak.",82,13.0,Chardonnay
38370,US,"There's so much oak on this Pinot Noir, you might think you were tasting a dessert made with vanilla cream and toasted meringue, like the crust on a baked Alaska. Under all that, loads of ripe raspberries and cherries. Shows the excellent hallmarks of a fine Santa Rita Pinot Noir, but certainly is one of the oakier versions.",90,95.0,Pinot Noir
127,Spain,"Aromas of white flowers, stone fruits and lees are typical of well-made Albariño. A juicy, elegant palate with a mix of citrus and stone-fruit flavors is lasting, with a hint of pithy character coming up on the finish.",90,17.0,Albariño
47525,US,"Toasty, with a bit of cedar or menthol on the nose; red berries and licorice on the palate. The fruit here is delicate and tart, particularly on the finish, where the flavors are almost lemony.",84,18.0,Cabernet Sauvignon
67940,US,"Made in a directly appealing style, this Syrah is soft and slightly sweet. It offers flavors of blackberry and cherry jam and milk chocolate, with notes of anise and tangerine rind. Drink now.",88,27.0,Syrah
10312,US,"An elegant, restrained, yet lovely Pinot Noir from a much-maligned vintage. Soft, round cherry fruit is wrapped in sandalwood and mocha flavors. Fully ripe with fine tannins and lovely integration of the barrel notes.",90,35.0,Pinot Noir
50244,Italy,"D'Alessandro's plump Syrah is a bold and generous red wine, with richly layered aromas of cherry, blackberry, rum cake, bacon fat and toasted nut. Pair this wine with abbacchio arrosto (roast lamb).",88,20.0,Syrah
57351,US,"The score reflects the rich cherry, blackberry, cola and smoked meat flavors in this dry, crisp, silky wine. But it also takes into account a certain funkiness and one-dimensional simplicity.",84,15.0,Tempranillo
103427,Italy,"Very dark espresso, leather and black plum aromas and flavors. The mouthfeel is full and balanced by good acidity. The very dry, long finish shows tar, licorice and bitter chocolate flavors, along with some tannins to shed. Time should allow the solid fruit to come from behind the lavish toast that now veils it.",87,20.0,Sangiovese
81155,US,"Soft and simple, with candied peach and pear flavors and some oaky, leesy influence that makes it a little fancier.",83,9.0,Chardonnay
44263,US,"Pretty good for the price. Dry and fruity, with polished cherry and cassis flavors. Turns a little harsh and minty, but easy to like with pizza, burgers, enchiladas.",85,12.0,Red Blend
68397,US,"This wine seems barely ripe, with thin, herbal, almost vegetal flavors and a sour streak. The barrel aging may have contributed some suggestions of vanilla and licorice.",83,25.0,Syrah
